1961	3
1574	2	0
1575	0	1120
777	0	1121
777	1	0
1578	2	0
1579	0	1122
777	0	1123
777	1	0
1582	2	0
1583	0	1124
777	0	1125
777	1	0
1586	2	0
1587	0	1126
777	0	1127
777	1	0
1590	2	0
1591	0	1128
777	0	1129
777	1	0
1594	2	0
1595	0	1130
777	0	1131
777	1	0
1598	2	0
1599	0	1132
777	0	1133
777	1	0
1602	2	0
1603	0	1134
777	0	1135
777	1	0
1606	2	0
1607	0	1136
777	0	1137
777	1	0
1610	2	0
1611	0	1138
777	0	1139
777	1	0
1614	2	0
1615	0	1140
777	0	1141
777	1	0
1618	2	0
1619	0	1142
777	0	1143
777	1	0
1622	2	0
1623	0	1144
777	0	1145
777	1	0
1626	2	0
1627	0	1146
777	0	1147
777	1	0
1630	2	0
1631	0	1148
777	0	1149
777	1	0
1634	2	0
1635	0	1150
777	0	1151
777	1	0
1638	2	0
1639	0	1152
777	0	1153
777	1	0
1642	2	0
1643	0	1154
777	0	1155
777	1	0
1646	2	0
1647	0	1156
777	0	1157
777	1	0
1650	2	0
1651	0	1158
777	0	1159
777	1	0
1654	2	0
1655	0	1160
777	0	1161
777	1	0
1658	2	0
1659	0	1162
777	0	1163
777	1	0
1662	2	0
1663	0	1164
777	0	1165
777	1	0
1666	2	0
1667	0	1166
777	0	1167
1667	0	1168
777	0	1169
777	1	0
1672	2	0
1673	0	1170
777	0	1171
777	1	0
1676	2	0
1677	0	1172
777	0	1173
777	1	0
1680	2	0
1681	0	1174
777	0	1175
777	1	0
1684	2	0
1685	0	1176
777	0	1177
777	1	0
1688	2	0
1689	0	1178
777	0	1179
777	1	0
1692	2	0
1693	0	1180
777	0	1181
777	1	0
1696	2	0
1697	0	1182
777	0	1183
777	1	0
1700	2	0
1701	0	1184
777	0	1185
777	1	0
1704	2	0
1705	0	1186
777	0	1187
777	1	0
1708	2	0
1709	0	1188
777	0	1189
777	1	0
1712	2	0
1713	0	1190
777	0	1191
777	1	0
1716	2	0
1717	0	1192
777	0	1193
777	1	0
1720	2	0
1721	0	1194
777	0	1195
777	1	0
1724	2	0
1725	0	1196
777	0	1197
777	1	0
1728	2	0
1729	0	1198
777	0	1199
777	1	0
1732	2	0
1733	0	1200
777	0	1201
777	1	0
1736	2	0
1737	0	1202
777	0	1203
777	1	0
1740	2	0
1741	0	1204
777	0	1205
777	1	0
1744	2	0
1745	0	1206
777	0	1207
777	1	0
1748	2	0
1749	0	1208
777	0	1209
777	1	0
1752	2	0
1753	0	1210
777	0	1211
777	1	0
1756	2	0
1757	0	1212
777	0	1213
777	1	0
1760	2	0
1761	0	1214
777	0	1215
777	1	0
1764	2	0
1765	0	1216
777	0	1217
777	1	0
1768	2	0
1769	0	1218
777	0	1219
777	1	0
1772	2	0
1773	0	1220
777	0	1221
777	1	0
1776	2	0
1777	0	1222
777	0	1223
777	1	0
1780	2	0
1781	0	1224
777	0	1225
777	1	0
1784	2	0
1785	0	1226
777	0	1227
777	1	0
1788	2	0
1789	0	1228
777	0	1229
777	1	0
1792	2	0
1793	0	1230
777	0	1231
777	1	0
1796	2	0
1797	0	1232
777	0	1233
777	1	0
1800	2	0
1801	0	1234
777	0	1235
777	1	0
1804	2	0
1805	0	1236
777	0	1237
777	1	0
1808	2	0
1809	0	1238
777	0	1239
777	1	0
1812	2	0
1813	0	1240
777	0	1241
777	1	0
1816	2	0
1817	0	1242
777	0	1243
777	1	0
1820	2	0
1821	0	1244
777	0	1245
777	1	0
1824	2	0
1825	0	1246
777	0	1247
777	1	0
1828	2	0
1829	0	1248
777	0	1249
777	1	0
1832	2	0
1833	0	1250
777	0	1251
777	1	0
1836	2	0
1837	0	1252
777	0	1253
777	1	0
1840	2	0
1841	0	1254
777	0	1255
777	1	0
1844	2	0
1845	0	1256
777	0	1257
777	1	0
1848	2	0
1849	0	1258
777	0	1259
777	1	0
1852	2	0
1853	0	1260
777	0	1261
777	1	0
1856	2	0
1857	0	1262
777	0	1263
777	1	0
1860	2	0
1861	0	1264
777	0	1265
777	1	0
1864	2	0
1865	0	1266
777	0	1267
777	1	0
1868	2	0
1869	0	1268
777	0	1269
777	1	0
1872	2	0
1873	0	1270
777	0	1271
777	1	0
1876	2	0
1877	0	1272
777	0	1273
